#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,8,8,8,8,8,0.000064
1,8,8,16,138,146,0.001168
2,8,8,24,556,702,0.005616
3,8,8,32,1215,1917,0.015336
4,8,8,40,2488,4405,0.035240
5,8,8,48,4666,9071,0.072568
6,8,8,56,7284,16355,0.130840
7,8,8,64,10209,26564,0.212512
8,8,5,69,13245,39809,0.318472
9,8,6,75,16759,56568,0.452544
10,8,6,81,17597,74165,0.593320
11,8,3,84,15942,90107,0.720856
12,8,4,88,12904,103011,0.824088
13,8,3,91,9243,112254,0.898032
14,8,0,91,5960,118214,0.945712
